,TIME_PERIOD,PRO_COM,POP_AL_KMQ,RESULT,OBS_VALUE,MORTI
128018,2027,1270,531.488897,F,0,0
128019,2027,1271,84.841499,F,0,0
128020,2027,1272,6563.106736,F,0,0
128021,2027,1273,306.49742,F,0,0
128022,2027,1274,110.550921,F,0,0
128023,2027,1275,217.270749,F,0,0
128024,2027,1276,228.882468,F,0,0
128025,2027,1278,7.876016,F,0,0
128026,2027,1279,47.157178,F,0,0
128027,2027,1280,850.124721,F,0,0
128028,2027,1281,4.582939,F,0,0
128029,2027,1282,1.938342,F,0,0
128030,2027,1283,186.325094,F,0,0
128031,2027,1284,108.908126,F,0,0
128032,2027,1285,107.788633,F,0,0
128033,2027,1286,129.128833,F,0,0
128034,2027,1287,250.052479,F,0,0
128035,2027,1288,1.19685,F,0,0
128036,2027,1289,37.414996,F,0,0
128037,2027,1290,201.187103,F,0,0
128038,2027,1291,44.505736,F,0,0
128039,2027,1292,1566.741169,F,0,0
128040,2027,1293,162.148218,F,0,0
128041,2027,1294,41.510922,F,0,0
128042,2027,1295,62.47359,F,0,0
128043,2027,1296,54.463651,F,0,0
128044,2027,1298,152.980423,F,0,0
128045,2027,1299,122.830421,F,0,0
128046,2027,1300,90.398573,F,0,0
128047,2027,1301,299.451708,F,0,0
128048,2027,1302,336.638229,F,0,0
128049,2027,1303,487.847618,F,0,0
128050,2027,1304,86.769037,F,0,0
128051,2027,1305,75.369744,F,0,0
128052,2027,1306,17.497885,F,0,0
128053,2027,1307,341.588536,F,0,0
128054,2027,1308,216.83789,F,0,0
128055,2027,1309,869.634259,F,0,0
128056,2027,1310,83.942151,F,0,0
128057,2027,1311,69.986178,F,0,0
128058,2027,1312,111.922765,F,0,0
128059,2027,1313,13.07777,F,0,0
128060,2027,1314,462.152793,F,0,0
128061,2027,1315,401.282962,F,0,0
128062,2027,1316,740.52193,F,0,0
128063,2027,1317,88.424554,F,0,0
128064,2027,1318,20.674313,F,0,0
128065,2027,2002,5.444112,F,0,0
128066,2027,2003,22.494902,F,0,0
128067,2027,2004,101.404437,F,0,0
128068,2027,2006,36.464724,F,0,0
128069,2027,2007,52.516578,F,0,0
128070,2027,2008,11.544159,F,0,0
128071,2027,2009,12.553546,F,0,0
128072,2027,2011,44.730528,F,0,0
128073,2027,2014,5.107675,F,0,0
128074,2027,2015,55.294834,F,0,0
128075,2027,2016,292.797726,F,0,0
128076,2027,2017,114.379593,F,0,0
128077,2027,2021,34.69356,F,0,0
128078,2027,2025,6.76697,F,0,0
128079,2027,2029,3.157867,F,0,0
128080,2027,2030,41.271237,F,0,0
128081,2027,2031,100.528044,F,0,0
128082,2027,2032,25.310737,F,0,0
128083,2027,2033,13.761185,F,0,0
128084,2027,2035,26.758569,F,0,0
128085,2027,2041,4.927709,F,0,0
128086,2027,2042,167.931943,F,0,0
128087,2027,2043,30.047914,F,0,0
128088,2027,2045,7.806486,F,0,0
128089,2027,2047,37.104513,F,0,0
128090,2027,2048,7.057548,F,0,0
128091,2027,2049,156.438575,F,0,0
128092,2027,2052,25.470345,F,0,0
128093,2027,2054,66.760536,F,0,0
128094,2027,2057,6.574248,F,0,0
128095,2027,2058,45.261912,F,0,0
128096,2027,2059,29.291224,F,0,0
128097,2027,2061,222.98064,F,0,0
128098,2027,2062,63.504759,F,0,0
128099,2027,2065,27.015881,F,0,0
128100,2027,2066,51.087456,F,0,0
128101,2027,2067,49.87557,F,0,0
128102,2027,2068,40.589764,F,0,0
128103,2027,2070,24.054222,F,0,0
128104,2027,2071,73.631227,F,0,0
128105,2027,2072,114.59427,F,0,0
128106,2027,2078,7.256894,F,0,0
128107,2027,2079,67.833394,F,0,0
128108,2027,2082,60.772113,F,0,0
128109,2027,2088,46.799508,F,0,0
128110,2027,2089,35.544116,F,0,0
128111,2027,2090,78.05102,F,0,0
128112,2027,2091,40.024593,F,0,0
128113,2027,2093,73.882825,F,0,0
128114,2027,2096,15.189349,F,0,0
128115,2027,2097,13.752326,F,0,0
128116,2027,2102,32.945772,F,0,0
128117,2027,2104,62.744282,F,0,0
128118,2027,2107,230.193117,F,0,0
128119,2027,2108,35.404399,F,0,0
128120,2027,2110,1.571517,F,0,0
128121,2027,2113,5.367237,F,0,0
128122,2027,2115,46.657456,F,0,0
128123,2027,2116,78.52381,F,0,0
128124,2027,2118,23.370405,F,0,0
128125,2027,2121,14.360655,F,0,0
128126,2027,2122,30.545619,F,0,0
128127,2027,2126,16.492308,F,0,0
128128,2027,2127,10.596358,F,0,0
128129,2027,2128,119.596177,F,0,0
128130,2027,2131,52.088263,F,0,0
128131,2027,2133,151.009806,F,0,0
128132,2027,2134,16.819402,F,0,0
128133,2027,2135,20.871337,F,0,0
128134,2027,2137,224.922267,F,0,0
128135,2027,2142,64.267422,F,0,0
128136,2027,2147,53.799871,F,0,0
128137,2027,2148,94.723096,F,0,0
128138,2027,2150,72.735967,F,0,0
128139,2027,2152,64.446454,F,0,0
128140,2027,2156,66.463508,F,0,0
128141,2027,2158,576.009687,F,0,0
128142,2027,2163,14.542803,F,0,0
128143,2027,2164,104.714555,F,0,0
128144,2027,2166,7.849022,F,0,0
128145,2027,2170,2.221276,F,0,0
128146,2027,2171,54.052177,F,0,0
128147,2027,3001,108.969332,F,0,0
128148,2027,3002,87.430601,F,0,0
128149,2027,3006,66.158342,F,0,0
128150,2027,3008,900.143707,F,0,0
128151,2027,3012,37.295822,F,0,0
128152,2027,3016,239.313098,F,0,0
128153,2027,3018,108.562114,F,0,0
128154,2027,3019,120.420483,F,0,0
128155,2027,3021,153.608563,F,0,0
128156,2027,3022,341.373362,F,0,0
128157,2027,3023,96.484366,F,0,0
128158,2027,3024,657.522695,F,0,0
128159,2027,3025,382.850566,F,0,0
128160,2027,3026,578.15034,F,0,0
128161,2027,3027,45.039041,F,0,0
128162,2027,3030,111.687043,F,0,0
128163,2027,3032,270.375039,F,0,0
128164,2027,3036,167.853926,F,0,0
128165,2027,3037,64.897417,F,0,0
128166,2027,3039,85.8418,F,0,0
128167,2027,3040,38.972582,F,0,0
128168,2027,3041,50.330293,F,0,0
128169,2027,3042,31.876349,F,0,0
128170,2027,3043,672.891068,F,0,0
128171,2027,3044,60.59765,F,0,0
128172,2027,3045,116.94836,F,0,0
128173,2027,3047,155.054587,F,0,0
128174,2027,3049,210.029571,F,0,0
128175,2027,3051,172.691906,F,0,0
128176,2027,3052,284.314387,F,0,0
128177,2027,3055,219.3285,F,0,0
128178,2027,3058,303.760565,F,0,0
128179,2027,3060,290.601062,F,0,0
128180,2027,3062,349.135435,F,0,0
128181,2027,3065,217.37479,F,0,0
128182,2027,3066,123.475451,F,0,0
128183,2027,3068,534.626426,F,0,0
128184,2027,3069,139.90885,F,0,0
128185,2027,3070,465.554288,F,0,0
128186,2027,3073,165.811693,F,0,0
128187,2027,3076,437.049459,F,0,0
128188,2027,3077,67.466152,F,0,0
128189,2027,3079,299.78512,F,0,0
128190,2027,3082,246.550424,F,0,0
128191,2027,3083,72.906512,F,0,0
128192,2027,3084,160.448283,F,0,0
128193,2027,3088,154.616929,F,0,0
128194,2027,3090,35.189013,F,0,0
128195,2027,3091,206.086287,F,0,0
128196,2027,3093,161.569953,F,0,0
128197,2027,3095,310.538399,F,0,0
128198,2027,3097,157.280371,F,0,0
128199,2027,3098,146.715209,F,0,0
128200,2027,3100,101.819785,F,0,0
128201,2027,3103,222.020569,F,0,0
128202,2027,3104,73.266855,F,0,0
128203,2027,3106,992.053364,F,0,0
128204,2027,3108,376.800857,F,0,0
128205,2027,3109,374.545087,F,0,0
128206,2027,3112,165.714286,F,0,0
128207,2027,3114,413.414448,F,0,0
128208,2027,3115,107.698739,F,0,0
128209,2027,3116,184.98614,F,0,0
128210,2027,3119,285.982863,F,0,0
128211,2027,3120,137.154326,F,0,0
128212,2027,3121,172.16001,F,0,0
128213,2027,3122,151.328974,F,0,0
128214,2027,3129,113.753177,F,0,0
128215,2027,3130,207.057305,F,0,0
128216,2027,3131,317.1723,F,0,0
128217,2027,3133,352.417213,F,0,0
128218,2027,3134,60.607648,F,0,0
128219,2027,3135,57.049855,F,0,0
128220,2027,3138,60.198003,F,0,0
128221,2027,3139,124.507178,F,0,0
128222,2027,3140,112.213189,F,0,0
128223,2027,3141,86.957195,F,0,0
128224,2027,3143,125.709195,F,0,0
128225,2027,3144,53.880329,F,0,0
128226,2027,3146,66.082622,F,0,0
128227,2027,3149,551.61227,F,0,0
128228,2027,3153,94.984119,F,0,0
128229,2027,3154,360.40093,F,0,0
128230,2027,3158,115.130654,F,0,0
128231,2027,3159,64.691811,F,0,0
128232,2027,3164,35.373622,F,0,0
128233,2027,3166,200.82407,F,0,0
128234,2027,4001,1.08231,F,0,0
128235,2027,4002,5.525865,F,0,0
128236,2027,4003,578.275345,F,0,0
128237,2027,4004,46.841979,F,0,0
128238,2027,4005,21.041064,F,0,0
128239,2027,4006,1.009714,F,0,0
128240,2027,4007,39.451743,F,0,0
128241,2027,4008,30.08165,F,0,0
128242,2027,4009,90.562124,F,0,0
128243,2027,4010,68.640181,F,0,0
128244,2027,4011,77.283734,F,0,0
128245,2027,4012,90.912085,F,0,0
128246,2027,4013,108.065505,F,0,0
128247,2027,4014,52.413609,F,0,0
128248,2027,4015,21.313908,F,0,0
128249,2027,4016,198.458694,F,0,0
128250,2027,4017,1.594973,F,0,0
128251,2027,4018,67.359584,F,0,0
128252,2027,4019,74.805023,F,0,0
128253,2027,4020,82.369597,F,0,0
128254,2027,4021,16.710586,F,0,0
128255,2027,4022,165.060143,F,0,0
128256,2027,4023,13.810438,F,0,0
128257,2027,4024,43.407488,F,0,0
128258,2027,4025,560.30045,F,0,0
128259,2027,4026,31.405108,F,0,0
128260,2027,4027,45.237981,F,0,0
128261,2027,4028,188.544073,F,0,0
128262,2027,4029,498.455398,F,0,0
128263,2027,4030,50.66051,F,0,0
128264,2027,4031,0.766583,F,0,0
128265,2027,4032,26.175425,F,0,0
128266,2027,4033,35.383662,F,0,0
128267,2027,4034,132.548248,F,0,0
128268,2027,4035,23.352526,F,0,0
128269,2027,4037,304.724802,F,0,0
128270,2027,4038,1.651269,F,0,0
128271,2027,4039,6.955433,F,0,0
128272,2027,4040,162.707554,F,0,0
128273,2027,4041,114.249686,F,0,0
128274,2027,4042,59.002398,F,0,0
128275,2027,4043,172.265655,F,0,0
128276,2027,4044,25.081007,F,0,0
128277,2027,4045,81.600332,F,0,0
128278,2027,4046,318.069377,F,0,0
128279,2027,4047,4.211903,F,0,0
128280,2027,4049,81.318848,F,0,0
128281,2027,4050,18.978908,F,0,0
128282,2027,4051,115.341732,F,0,0
128283,2027,4052,23.571416,F,0,0
128284,2027,4053,1.034336,F,0,0
128285,2027,4054,16.288466,F,0,0
128286,2027,4055,138.977162,F,0,0
128287,2027,4056,63.864535,F,0,0
128288,2027,4057,27.894452,F,0,0
128289,2027,4058,40.698877,F,0,0
128290,2027,4059,103.266221,F,0,0
128291,2027,4060,2.8291,F,0,0
128292,2027,4061,164.316818,F,0,0
128293,2027,4062,54.090967,F,0,0
128294,2027,4063,37.861235,F,0,0
128295,2027,4064,285.847555,F,0,0
128296,2027,4065,122.499462,F,0,0
128297,2027,4066,135.96475,F,0,0
128298,2027,4067,118.108498,F,0,0
128299,2027,4068,39.308011,F,0,0
128300,2027,4069,31.689508,F,0,0
128301,2027,4070,13.212725,F,0,0
128302,2027,4071,45.362051,F,0,0
128303,2027,4072,214.62844,F,0,0
128304,2027,4073,84.322161,F,0,0
128305,2027,4074,41.625893,F,0,0
128306,2027,4075,214.570175,F,0,0
128307,2027,4076,42.250225,F,0,0
128308,2027,4077,2.785628,F,0,0
128309,2027,4078,465.87671,F,0,0
128310,2027,4079,14.806808,F,0,0
128311,2027,4080,202.528615,F,0,0
128312,2027,4081,129.305996,F,0,0
128313,2027,4082,119.136666,F,0,0
128314,2027,4083,3.013013,F,0,0
128315,2027,4084,4.74705,F,0,0
128316,2027,4085,78.498225,F,0,0
128317,2027,4086,101.510184,F,0,0
128318,2027,4087,67.427238,F,0,0
128319,2027,4088,39.130775,F,0,0
128320,2027,4089,185.157723,F,0,0
128321,2027,4090,15.272454,F,0,0
128322,2027,4091,42.955851,F,0,0
128323,2027,4092,14.931866,F,0,0
128324,2027,4093,116.117607,F,0,0
128325,2027,4094,61.659583,F,0,0
128326,2027,4095,21.663438,F,0,0
128327,2027,4096,186.263436,F,0,0
128328,2027,4097,17.466124,F,0,0
128329,2027,4098,8.700802,F,0,0
128330,2027,4099,118.134803,F,0,0
128331,2027,4100,508.11407,F,0,0
128332,2027,4101,262.680351,F,0,0
128333,2027,4102,19.09406,F,0,0
128334,2027,4103,13.193132,F,0,0
128335,2027,4104,78.645913,F,0,0
128336,2027,4105,109.990151,F,0,0
128337,2027,4106,36.43557,F,0,0
128338,2027,4107,59.013975,F,0,0
128339,2027,4108,58.791676,F,0,0
128340,2027,4109,11.627168,F,0,0
128341,2027,4110,18.966167,F,0,0
128342,2027,4111,22.482288,F,0,0
128343,2027,4112,1.703426,F,0,0
128344,2027,4113,228.310983,F,0,0
128345,2027,4114,64.568759,F,0,0
128346,2027,4115,62.852892,F,0,0
128347,2027,4116,327.495846,F,0,0
128348,2027,4117,115.603546,F,0,0
128349,2027,4118,123.327649,F,0,0
128350,2027,4119,1.410307,F,0,0
128351,2027,4120,16.505704,F,0,0
128352,2027,4121,61.443007,F,0,0
128353,2027,4122,10.571317,F,0,0
128354,2027,4123,14.334824,F,0,0
128355,2027,4124,12.724817,F,0,0
128356,2027,4125,32.911611,F,0,0
128357,2027,4126,72.083128,F,0,0
128358,2027,4127,10.807714,F,0,0
128359,2027,4128,88.791126,F,0,0
128360,2027,4129,115.8247,F,0,0
128361,2027,4130,254.03324,F,0,0
128362,2027,4131,43.918658,F,0,0
128363,2027,4132,74.146172,F,0,0
128364,2027,4133,174.200958,F,0,0
128365,2027,4134,22.646599,F,0,0
128366,2027,4135,75.589939,F,0,0
128367,2027,4136,59.688142,F,0,0
128368,2027,4137,73.869026,F,0,0
128369,2027,4138,21.073297,F,0,0
128370,2027,4139,12.695104,F,0,0
128371,2027,4140,63.604011,F,0,0
128372,2027,4141,32.005536,F,0,0
128373,2027,4142,228.607157,F,0,0
128374,2027,4143,170.842207,F,0,0
128375,2027,4144,91.700125,F,0,0
128376,2027,4145,31.290875,F,0,0
128377,2027,4146,53.150356,F,0,0
128378,2027,4147,134.708812,F,0,0
128379,2027,4148,150.732067,F,0,0
128380,2027,4149,44.788736,F,0,0
128381,2027,4150,27.781878,F,0,0
128382,2027,4151,59.400267,F,0,0
128383,2027,4152,79.330441,F,0,0
128384,2027,4153,49.818783,F,0,0
128385,2027,4154,1.710347,F,0,0
128386,2027,4155,11.679362,F,0,0
128387,2027,4156,6.175732,F,0,0
128388,2027,4157,45.598469,F,0,0
128389,2027,4158,67.282656,F,0,0
128390,2027,4159,7.620626,F,0,0
128391,2027,4160,14.969939,F,0,0
128392,2027,4161,25.471526,F,0,0
128393,2027,4162,10.180508,F,0,0
128394,2027,4163,81.096959,F,0,0
128395,2027,4164,11.178273,F,0,0
128396,2027,4165,135.595877,F,0,0
128397,2027,4166,259.476152,F,0,0
128398,2027,4167,1.214083,F,0,0
128399,2027,4168,363.338951,F,0,0
128400,2027,4169,69.349776,F,0,0
128401,2027,4170,189.787955,F,0,0
128402,2027,4171,108.099199,F,0,0
128403,2027,4172,1.980555,F,0,0
128404,2027,4173,13.061461,F,0,0
128405,2027,4174,3.340645,F,0,0
128406,2027,4175,24.529102,F,0,0
128407,2027,4176,229.114989,F,0,0
128408,2027,4177,22.611542,F,0,0
128409,2027,4178,26.459632,F,0,0
128410,2027,4179,200.350426,F,0,0
128411,2027,4180,79.816886,F,0,0
128412,2027,4181,149.336606,F,0,0
128413,2027,4182,8.897111,F,0,0
128414,2027,4183,3.77569,F,0,0
128415,2027,4184,13.393135,F,0,0
128416,2027,4185,84.787112,F,0,0
128417,2027,4186,16.403671,F,0,0
