,COD_RIP,COD_REG,COD_PROV_STORICO,COD_UTS,PRO_COM_T,PRO_COM,COMUNE,COMUNE_A,SIGLA_AUTOMOBILISTICA,POP_LEG,ANNO_CENSIMENTO,AREA_KMQ,ANNO_AREA,POP_RES,ANNO_POP_RES,anno_riferimento
111,1,01,001,201,001113,1113,Germagnano,,TO,1120,2021,"14,4442",2023,1125,2022,2023
112,1,01,001,201,001114,1114,Giaglione,,TO,592,2021,"33,383",2023,590,2022,2023
113,1,01,001,201,001115,1115,Giaveno,,TO,16214,2021,"71,7379",2023,16254,2022,2023
114,1,01,001,201,001116,1116,Givoletto,,TO,4095,2021,"12,8199",2023,4113,2022,2023
115,1,01,001,201,001117,1117,Gravere,,TO,666,2021,"18,9872",2023,664,2022,2023
116,1,01,001,201,001118,1118,Groscavallo,,TO,191,2021,"92,0935",2023,192,2022,2023
117,1,01,001,201,001119,1119,Grosso,,TO,987,2021,"4,3296",2023,996,2022,2023
118,1,01,001,201,001120,1120,Grugliasco,,TO,37090,2021,"13,1375",2023,36898,2022,2023
119,1,01,001,201,001121,1121,Ingria,,TO,42,2021,"14,7505",2023,43,2022,2023
120,1,01,001,201,001122,1122,Inverso Pinasca,,TO,697,2021,"8,0293",2023,681,2022,2023
121,1,01,001,201,001123,1123,Isolabella,,TO,375,2021,"4,7718",2023,374,2022,2023
122,1,01,001,201,001124,1124,Issiglio,,TO,409,2021,"5,5042",2023,426,2022,2023
123,1,01,001,201,001125,1125,Ivrea,,TO,22604,2021,"30,1076",2023,22427,2022,2023
124,1,01,001,201,001126,1126,La Cassa,,TO,1773,2021,"12,0354",2023,1778,2022,2023
125,1,01,001,201,001127,1127,La Loggia,,TO,8779,2021,"12,7929",2023,8793,2022,2023
126,1,01,001,201,001128,1128,Lanzo Torinese,,TO,4893,2021,"10,2876",2023,4880,2022,2023
127,1,01,001,201,001129,1129,Lauriano,,TO,1401,2021,"14,2901",2023,1391,2022,2023
128,1,01,001,201,001130,1130,Leini,,TO,16321,2021,"31,9192",2023,16294,2022,2023
129,1,01,001,201,001131,1131,Lemie,,TO,185,2021,"45,6752",2023,161,2022,2023
130,1,01,001,201,001132,1132,Lessolo,,TO,1777,2021,"7,9365",2023,1749,2022,2023
131,1,01,001,201,001133,1133,Levone,,TO,443,2021,"5,3912",2023,441,2022,2023
132,1,01,001,201,001134,1134,Locana,,TO,1339,2021,"132,5175",2023,1318,2022,2023
133,1,01,001,201,001135,1135,Lombardore,,TO,1670,2021,"12,7157",2023,1698,2022,2023
134,1,01,001,201,001136,1136,Lombriasco,,TO,1090,2021,"7,2095",2023,1078,2022,2023
