,COD_RIP,COD_REG,COD_UTS,PRO_COM_T,PRO_COM,COMUNE,COMUNE_A,SIGLA_AUTOMOBILISTICA,POP_LEG,ANNO_CENSIMENTO,AREA_KMQ,ANNO_AREA,POP_RES,ANNO_POP_RES,anno_riferimento
152,1,01,001,001153,1153,Mombello di Torino,,TO,395.0,2001,"4,0825",2010,395,2009,2010
153,1,01,001,001154,1154,Mompantero,,TO,668.0,2001,"30,3332",2010,679,2009,2010
154,1,01,001,001155,1155,Monastero di Lanzo,,TO,428.0,2001,"17,6554",2010,392,2009,2010
155,1,01,001,001156,1156,Moncalieri,,TO,53350.0,2001,"47,5288",2010,56714,2009,2010
156,1,01,001,001157,1157,Moncenisio,,TO,46.0,2001,"4,5007",2010,41,2009,2010
157,1,01,001,001158,1158,Montaldo Torinese,,TO,589.0,2001,"4,6567",2010,640,2009,2010
158,1,01,001,001159,1159,Montalenghe,,TO,890.0,2001,"6,4681",2010,989,2009,2010
159,1,01,001,001160,1160,Montalto Dora,,TO,3465.0,2001,"7,3567",2010,3526,2009,2010
160,1,01,001,001161,1161,Montanaro,,TO,5274.0,2001,"20,9036",2010,5430,2009,2010
161,1,01,001,001162,1162,Monteu da Po,,TO,828.0,2001,"7,3896",2010,871,2009,2010
162,1,01,001,001163,1163,Moriondo Torinese,,TO,763.0,2001,"6,4895",2010,810,2009,2010
163,1,01,001,001164,1164,Nichelino,,TO,47791.0,2001,"20,5625",2010,48583,2009,2010
164,1,01,001,001165,1165,Noasca,,TO,202.0,2001,"78,0453",2010,183,2009,2010
165,1,01,001,001166,1166,Nole,,TO,6242.0,2001,"11,3531",2010,6859,2009,2010
166,1,01,001,001167,1167,Nomaglio,,TO,333.0,2001,"3,0743",2010,322,2009,2010
167,1,01,001,001168,1168,None,,TO,7761.0,2001,"24,6422",2010,7859,2009,2010
168,1,01,001,001169,1169,Novalesa,,TO,549.0,2001,"28,5542",2010,578,2009,2010
169,1,01,001,001170,1170,Oglianico,,TO,1291.0,2001,"6,303",2010,1444,2009,2010
170,1,01,001,001171,1171,Orbassano,,TO,21581.0,2001,"22,2079",2010,22095,2009,2010
171,1,01,001,001172,1172,Orio Canavese,,TO,781.0,2001,"7,1541",2010,839,2009,2010
172,1,01,001,001173,1173,Osasco,,TO,944.0,2001,"5,4885",2010,1133,2009,2010
173,1,01,001,001174,1174,Osasio,,TO,738.0,2001,"4,577",2010,899,2009,2010
174,1,01,001,001175,1175,Oulx,,TO,2657.0,2001,"99,7857",2010,3176,2009,2010
175,1,01,001,001176,1176,Ozegna,,TO,1172.0,2001,"5,4058",2010,1228,2009,2010
176,1,01,001,001177,1177,Palazzo Canavese,,TO,782.0,2001,"5,0819",2010,852,2009,2010
177,1,01,001,001178,1178,Pancalieri,,TO,1884.0,2001,"15,8878",2010,1959,2009,2010
178,1,01,001,001179,1179,Parella,,TO,473.0,2001,"2,6886",2010,492,2009,2010
179,1,01,001,001180,1180,Pavarolo,,TO,920.0,2001,"4,4056",2010,1117,2009,2010
180,1,01,001,001181,1181,Pavone Canavese,,TO,3776.0,2001,"11,54",2010,3846,2009,2010
181,1,01,001,001182,1182,Pecco,,TO,224.0,2001,"1,568",2010,228,2009,2010
182,1,01,001,001183,1183,Pecetto Torinese,,TO,3690.0,2001,"9,173",2010,3875,2009,2010
183,1,01,001,001184,1184,Perosa Argentina,,TO,3731.0,2001,"26,0906",2010,3416,2009,2010
184,1,01,001,001185,1185,Perosa Canavese,,TO,559.0,2001,"4,708",2010,567,2009,2010
185,1,01,001,001186,1186,Perrero,,TO,773.0,2001,"63,183",2010,743,2009,2010
186,1,01,001,001187,1187,Pertusio,,TO,699.0,2001,"4,0041",2010,787,2009,2010
187,1,01,001,001188,1188,Pessinetto,,TO,607.0,2001,"5,3498",2010,636,2009,2010
188,1,01,001,001189,1189,Pianezza,,TO,11236.0,2001,"16,4634",2010,13824,2009,2010
189,1,01,001,001190,1190,Pinasca,,TO,2952.0,2001,"34,7183",2010,3081,2009,2010
190,1,01,001,001191,1191,Pinerolo,,TO,33494.0,2001,"50,3376",2010,35366,2009,2010
191,1,01,001,001192,1192,Pino Torinese,,TO,8234.0,2001,"21,8196",2010,8518,2009,2010
192,1,01,001,001193,1193,Piobesi Torinese,,TO,3232.0,2001,"19,6488",2010,3641,2009,2010
193,1,01,001,001194,1194,Piossasco,,TO,16138.0,2001,"40,1459",2010,18125,2009,2010
194,1,01,001,001195,1195,Piscina,,TO,3146.0,2001,"9,9034",2010,3406,2009,2010
195,1,01,001,001196,1196,Piverone,,TO,1262.0,2001,"11,0343",2010,1355,2009,2010
196,1,01,001,001197,1197,Poirino,,TO,8962.0,2001,"75,6186",2010,10179,2009,2010
197,1,01,001,001198,1198,Pomaretto,,TO,1084.0,2001,"8,5611",2010,1111,2009,2010
198,1,01,001,001199,1199,Pont Canavese,,TO,3778.0,2001,"19,0609",2010,3759,2009,2010
199,1,01,001,001200,1200,Porte,,TO,940.0,2001,"4,4476",2010,1100,2009,2010
200,1,01,001,001201,1201,Pragelato,,TO,448.0,2001,"89,2017",2010,764,2009,2010
201,1,01,001,001202,1202,Prali,,TO,312.0,2001,"72,6092",2010,273,2009,2010
202,1,01,001,001203,1203,Pralormo,,TO,1801.0,2001,"29,8455",2010,1896,2009,2010
203,1,01,001,001204,1204,Pramollo,,TO,258.0,2001,"22,4785",2010,243,2009,2010
204,1,01,001,001205,1205,Prarostino,,TO,1224.0,2001,"10,5052",2010,1284,2009,2010
205,1,01,001,001206,1206,Prascorsano,,TO,756.0,2001,"6,2419",2010,797,2009,2010
206,1,01,001,001207,1207,Pratiglione,,TO,601.0,2001,"7,8803",2010,586,2009,2010
207,1,01,001,001208,1208,Quagliuzzo,,TO,321.0,2001,"2,038",2010,336,2009,2010
208,1,01,001,001209,1209,Quassolo,,TO,403.0,2001,"3,9559",2010,368,2009,2010
209,1,01,001,001210,1210,Quincinetto,,TO,1080.0,2001,"17,7868",2010,1077,2009,2010
210,1,01,001,001211,1211,Reano,,TO,1437.0,2001,"6,6658",2010,1666,2009,2010
211,1,01,001,001212,1212,Ribordone,,TO,84.0,2001,"43,6002",2010,78,2009,2010
212,1,01,001,001213,1213,Rivalba,,TO,966.0,2001,"10,8334",2010,1128,2009,2010
213,1,01,001,001214,1214,Rivalta di Torino,,TO,17565.0,2001,"25,1075",2010,19064,2009,2010
214,1,01,001,001215,1215,Riva presso Chieri,,TO,3833.0,2001,"35,8318",2010,4075,2009,2010
215,1,01,001,001216,1216,Rivara,,TO,2687.0,2001,"12,5714",2010,2750,2009,2010
216,1,01,001,001217,1217,Rivarolo Canavese,,TO,11976.0,2001,"32,2461",2010,12337,2009,2010
217,1,01,001,001218,1218,Rivarossa,,TO,1427.0,2001,"10,8733",2010,1661,2009,2010
218,1,01,001,001219,1219,Rivoli,,TO,49792.0,2001,"29,4998",2010,49035,2009,2010
219,1,01,001,001220,1220,Robassomero,,TO,3028.0,2001,"8,5756",2010,3024,2009,2010
220,1,01,001,001221,1221,Rocca Canavese,,TO,1635.0,2001,"14,1912",2010,1780,2009,2010
221,1,01,001,001222,1222,Roletto,,TO,1994.0,2001,"9,7039",2010,2046,2009,2010
222,1,01,001,001223,1223,Romano Canavese,,TO,2943.0,2001,"11,2107",2010,2969,2009,2010
223,1,01,001,001224,1224,Ronco Canavese,,TO,377.0,2001,"96,2664",2010,319,2009,2010
224,1,01,001,001225,1225,Rondissone,,TO,1655.0,2001,"10,6877",2010,1830,2009,2010
225,1,01,001,001226,1226,Rorà,,TO,259.0,2001,"12,4075",2010,260,2009,2010
226,1,01,001,001227,1227,Roure,,TO,966.0,2001,"59,3732",2010,903,2009,2010
227,1,01,001,001228,1228,Rosta,,TO,3626.0,2001,"9,065",2010,4539,2009,2010
228,1,01,001,001229,1229,Rubiana,,TO,2048.0,2001,"26,9371",2010,2442,2009,2010
229,1,01,001,001230,1230,Rueglio,,TO,779.0,2001,"15,1002",2010,776,2009,2010
230,1,01,001,001231,1231,Salassa,,TO,1671.0,2001,"4,9519",2010,1777,2009,2010
231,1,01,001,001232,1232,Salbertrand,,TO,466.0,2001,"38,3197",2010,557,2009,2010
232,1,01,001,001233,1233,Salerano Canavese,,TO,532.0,2001,"2,1034",2010,544,2009,2010
233,1,01,001,001234,1234,Salza di Pinerolo,,TO,78.0,2001,"15,8859",2010,82,2009,2010
234,1,01,001,001235,1235,Samone,,TO,1473.0,2001,"2,4329",2010,1654,2009,2010
235,1,01,001,001236,1236,San Benigno Canavese,,TO,5154.0,2001,"22,2318",2010,5565,2009,2010
236,1,01,001,001237,1237,San Carlo Canavese,,TO,3548.0,2001,"20,907",2010,3907,2009,2010
237,1,01,001,001238,1238,San Colombano Belmonte,,TO,361.0,2001,"3,3809",2010,376,2009,2010
238,1,01,001,001239,1239,San Didero,,TO,430.0,2001,"3,3037",2010,566,2009,2010
239,1,01,001,001240,1240,San Francesco al Campo,,TO,4351.0,2001,"14,9796",2010,4770,2009,2010
240,1,01,001,001241,1241,Sangano,,TO,3705.0,2001,"6,6513",2010,3777,2009,2010
241,1,01,001,001242,1242,San Germano Chisone,,TO,1842.0,2001,"15,8617",2010,1826,2009,2010
242,1,01,001,001243,1243,San Gillio,,TO,2606.0,2001,"8,8866",2010,3027,2009,2010
243,1,01,001,001244,1244,San Giorgio Canavese,,TO,2396.0,2001,"20,4049",2010,2696,2009,2010
244,1,01,001,001245,1245,San Giorio di Susa,,TO,949.0,2001,"19,7219",2010,1070,2009,2010
245,1,01,001,001246,1246,San Giusto Canavese,,TO,3080.0,2001,"9,6132",2010,3381,2009,2010
246,1,01,001,001247,1247,San Martino Canavese,,TO,772.0,2001,"9,7933",2010,868,2009,2010
247,1,01,001,001248,1248,San Maurizio Canavese,,TO,7259.0,2001,"17,3442",2010,9389,2009,2010
248,1,01,001,001249,1249,San Mauro Torinese,,TO,17817.0,2001,"12,5517",2010,19214,2009,2010
249,1,01,001,001250,1250,San Pietro Val Lemina,,TO,1477.0,2001,"12,4446",2010,1461,2009,2010
